"Trait.disorder","OMIA.number","Species","Symbol","Name","Other.symbols","Other.descs"
"Muscular dystrophy, Duchenne type",1081,"domestic cat, dog, pig, Rhesus monkey","DMD","dystrophin","",""
"Mucopolysaccharidosis I",664,"dog, domestic cat, Japanese macaque","IDUA","iduronidase, alpha-L-","",""
"Mannosidosis, alpha",625,"taurine cattle, domestic cat, domestic guinea pig, dog","MAN2B1","mannosidase alpha class 2B member 1","",""
"Dermatosparaxis Ehlers-Danlos syndrome (dEDS), ADAMTS2-related",328,"taurine cattle, sheep, domestic cat, dog","ADAMTS2","ADAM metallopeptidase with thrombospondin type 1 motif 2","",""
"Haemophilia B",438,"domestic cat, dog","F9","coagulation factor IX","",""
"Haemophilia A",437,"domestic cat, dog, sheep, taurine cattle","F8","coagulation factor VIII","",""
"Coat colour, dilution, MLPH-related",31,"dog, taurine cattle, domestic cat, rabbit, American mink, sheep, domestic ferret","MLPH","melanophilin","",""
"Blood group system AB",119,"domestic cat","CMAH","cytidine monophospho-N-acetylneuraminic acid hydroxylase","",""
"Tail, short",975,"dog, sheep, domestic cat","TBXT","T-box transcription factor T","",""
"Chediak-Higashi syndrome",185,"domestic cat, taurine cattle, American mink","LYST","lysosomal trafficking regulator","",""
"Coat colour, agouti",201,"domestic horse, taurine cattle, red fox, sheep, domestic cat, rabbit, dog, goat, North American deer mouse, leopard, Asiatic golden cat, ass (donkey), impala, Colocolo, Kodkod, Arabian camel, domestic guinea pig, Western roe deer, tassel-eared squirrel, Tasmanian devil, common brushtail possum, fallow deer, southeastern quoll","ASIP","agouti signaling protein","",""
"Coat/skin colour, oculocutaneous albinism type I (OCA1), TYR-related",202,"domestic cat, taurine cattle, dog, rabbit, water buffalo, ass (donkey), Japanese medaka, American mink, humpback whale, domestic ferret, domestic guinea pig, Tufted capuchin, dark-spotted frog, Japanese wrinkled frog, Rice frog, lion, Mongolian gerbil, red fox, hamadryas baboon, red deer, axolotl, Japanese raccoon dog, Japanese ratsnake, American bison, Rhesus monkey, red-necked wallaby, thirteen-lined ground squirrel","TYR","tyrosinase","",""
"Cystinuria, type I - A",256,"dog, domestic cat","SLC3A1","solute carrier family 3 (amino acid transporter heavy chain), member 1","",""
"Ears, folded (drop vs prick)",319,"domestic cat, pig","TRPV4","transient receptor potential cation channel, subfamily V, member 4","MSRB3","methionine sulfoxide reductase B3"
"Factor XI deficiency",363,"taurine cattle, dog, domestic cat","F11","coagulation factor XI","",""
"Factor XII deficiency",364,"domestic cat","F12","coagulation factor XII (Hageman factor)","",""
"Fibrodysplasia ossificans",388,"domestic cat","ACVR1","activin A receptor, type I","",""
"Gangliosidosis, GM1",402,"domestic cat, dog, sheep","GLB1","galactosidase, beta 1","",""
"Glycogen storage disease II",419,"domestic cat, taurine cattle, dog, Japanese quail","GAA","glucosidase, alpha; acid","",""
"Glycogen storage disease IV",420,"domestic cat, domestic horse","GBE1","glucan (1,4-alpha-), branching enzyme 1","",""
"Hair, long",439,"domestic cat, goat, golden hamster, dog, rabbit, ass (donkey), domestic guinea pig, llama, Arabian camel","FGF5","fibroblast growth factor 5","",""
"Hypercholesterolaemia",499,"pig, Rhesus monkey, crab-eating macaque, domestic cat","LDLR","low density lipoprotein receptor","MBTPS2","membrane bound transcription factor peptidase, site 2"
"Hypothyroidism, congenital",536,"domestic cat, dog","TPO","thyroid peroxidase","",""
"Hypohidrotic ectodermal dysplasia, X-linked, EDA-related",543,"taurine cattle, dog, domestic cat, central bearded dragon","EDA","ectodysplasin A","",""
"Acrodermatitis enteropathica",593,"taurine cattle, domestic cat","SLC39A4","solute carrier family 39 (zinc transporter), member 4","",""
"Leukocyte adhesion deficiency, type I",595,"taurine cattle, dog, domestic cat","ITGB2","integrin subunit beta 2","",""
"Mannosidosis, beta",626,"taurine cattle, goat, dog, domestic cat","MANBA","mannosidase beta","",""
"Mucopolysaccharidosis VI",666,"domestic cat, dog","ARSB","arylsulfatase B","",""
"Mucopolysaccharidosis VII",667,"domestic cat, dog","GUSB","glucuronidase, beta","",""
"Myotonia",698,"goat, dog, sheep, domestic cat, domestic horse, water buffalo, pig","CLCN1","chloride channel, voltage-sensitive 1","",""
"Niemann-Pick disease, type C1",725,"domestic cat, taurine cattle","NPC1","Niemann-Pick disease, type C1","",""
"Polycystic kidney disease",807,"domestic cat, dog, crab-eating macaque, pig","PKD1","polycystic kidney disease 1 (autosomal dominant)","",""
"Polydactyly",810,"domestic cat, chicken, dog","SHH","sonic hedgehog","LMBR1 // ALX4","limb development membrane protein 1 // ALX homeobox 4"
"Hyperoxaluria, primary, type II (Oxalosis II)",821,"domestic cat","GRHPR","glyoxylate reductase/hydroxypyruvate reductase","",""
"Vitamin D-deficiency rickets, type IA",837,"pig, dog, domestic cat","CYP27B1","25-hydroxyvitamin D3 1alpha-hydroxylase","",""
"Pyruvate kinase deficiency of erythrocyte",844,"dog, domestic cat","PKLR","pyruvate kinase, liver and RBC","",""
"Retinal degeneration II",1244,"domestic cat","CEP290","centrosomal protein 290kDa","",""
"Retinal atrophy - Rod-cone dysplasia, CRX related",881,"domestic cat","CRX","cone-rod homeobox","",""
"Thrombasthenia",1000,"dog, domestic horse, domestic cat","ITGA2B","integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)","",""
"Wilson disease",1071,"dog, domestic cat","ATP7B","ATPase, Cu++ transporting, beta polypeptide","",""
"Coat colour, extension",1199,"taurine cattle, dog, domestic horse, red fox, pig, sheep, jaguar, jaguarundi, American black bear, woolly mammoth, domestic cat, rabbit, domestic guinea pig, goat, Arctic fox, rock pocket mouse, oldfield mouse, gray squirrel, lesser earless lizard, little striped whiptail, domestic yak, reindeer, Geoffroy's cat, ass (donkey), Arabian camel, fallow deer, indicine cattle (zebu), antarctic fur seal, marsupial mole","MC1R","melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)","",""
"Coat colour, orange",1201,"domestic cat","ARHGAP36","Rho GTPase activating protein 36","",""
"Hyperlipoproteinaemia",1210,"domestic cat","LPL","lipoprotein lipase","",""
"Leber congenital amaurosis",1222,"dog, domestic cat","RPE65","retinal pigment epithelium-specific protein 65kDa","AIPL1","aryl hydrocarbon receptor interacting protein-like 1"
"Coat colour, dominant white",209,"pig, domestic horse, domestic cat, alpaca, Arctic fox, ass (donkey), domestic yak, goat","KIT","v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog","",""
"Mucolipidosis II",1248,"domestic cat","GNPTAB","N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits","",""
"Coat colour, brown, TYRP1-related",1249,"taurine cattle, dog, domestic cat, sheep, pig, goat, American mink, rabbit, American black bear, Rhesus monkey, leopard","TYRP1","tyrosinase-related protein 1","",""
"Hair morphology, glitter",1313,"domestic cat","FGFR2","fibroblast growth factor receptor 2","",""
"L-2-hydroxyglutaricacidemia",1371,"dog, domestic cat","L2HGDH","L-2-hydroxyglutarate dehydrogenase","",""
"Multidrug resistance 1, ABCB1-related",1402,"dog, domestic cat","ABCB1","ATP-binding cassette, sub-family B (MDR/TAP), member 1","",""
"Gangliosidosis, GM2, (AB variant), GM2A-related",1427,"domestic cat","GM2A","GM2 ganglioside activator","",""
"Coat colour, tabby",1429,"domestic cat","LVRN","laeverin","",""
"Vitamin D-deficiency rickets, type II",1431,"domestic cat, dog","VDR","vitamin D (1,25- dihydroxyvitamin D3) receptor","",""
"Neuronal ceroid lipofuscinosis, 6",1443,"sheep, dog, domestic cat","CLN6","ceroid-lipofuscinosis, neuronal 6, late infantile, variant","",""
"Gangliosidosis, GM2, type II (Sandhoff or variant 0)",1462,"domestic cat, dog","HEXB","hexosaminidase B (beta polypeptide)","",""
"Coat colour, ticked (Abyssinian)",1484,"domestic cat","DKK4","dickkopf WNT signaling pathway inhibitor 4","",""
"Porphyria, congenital erythropoietic",1175,"domestic cat","UROS","uroporphyrinogen III synthase","",""
"Porphyria, acute intermittent",1493,"domestic cat","HMBS","hydroxymethylbilane synthase","",""
"Myotubular myopathy 1",1508,"dog, domestic cat","MTM1","myotubularin 1","",""
"Feet, white (gloving)",1580,"domestic cat","KIT","v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog","",""
"Curly coat, Devon rex",1581,"domestic cat","KRT71","keratin 71, type II","",""
"Hypotrichosis, with whiskers short and curled",1583,"domestic cat","KRT71","keratin 71, type II","",""
"Deficient acetaminophen glucuronidation",1586,"domestic cat","UGT1A6","UDP-glucuronosyltransferase 1A6","",""
"Sweet taste, lack of",1617,"domestic cat, tiger, cheetah","TAS1R2","taste receptor, type 1, member 2 pseudogene","",""
"Muscular dystrophy-dystroglycanopathy (limb-girdle)",1621,"domestic cat","COLQ","collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase","",""
